cafe_name,점수_심미성,리뷰수_심미성,점수_개방성,리뷰수_개방성,점수_감각적 경험,리뷰수_감각적 경험,점수_접근성,리뷰수_접근성,점수_쾌적성,리뷰수_쾌적성,점수_활동성,리뷰수_활동성,점수_상호작용성,리뷰수_상호작용성,점수_상징성,리뷰수_상징성,점수_기억 및 선호,리뷰수_기억 및 선호,점수_지역 정체성,리뷰수_지역 정체성,점수_심미성_calc,리뷰수_심미성_calc,점수_개방성_calc,리뷰수_개방성_calc,점수_감각적 경험_calc,리뷰수_감각적 경험_calc,점수_접근성_calc,리뷰수_접근성_calc,점수_쾌적성_calc,리뷰수_쾌적성_calc,점수_활동성_calc,리뷰수_활동성_calc,점수_상호작용성_calc,리뷰수_상호작용성_calc,점수_상징성_calc,리뷰수_상징성_calc,점수_기억 및 선호_calc,리뷰수_기억 및 선호_calc,점수_지역 정체성_calc,리뷰수_지역 정체성_calc,Wi_심미성,Wi_개방성,Wi_감각적 경험,Wi_접근성,Wi_쾌적성,Wi_활동성,Wi_상호작용성,Wi_상징성,Wi_기억 및 선호,Wi_지역 정체성,종합_장소성_점수_Mu,요인_점수_표준편차_Sigma,강점_요인(+df+),약점_요인(-df-),Final_PlaceScore_Summary
101스트릿노블레르점 강서구 염창동,0.9785794615745544,1,0.5,0,0.9861400425434113,1,0.5,0,0.9785794615745544,1,0.5,0,0.5,0,0.9785794615745544,1,0.9785794615745544,1,0.9785794615745544,1,0.9785794615745544,1,0.5,0,0.9861400425434113,1,0.5,0,0.9785794615745544,1,0.5,0,0.5,0,0.9785794615745544,1,0.9785794615745544,1,0.9785794615745544,1,0.1666666666666666,0.0,0.1666666666666666,0.0,0.1666666666666666,0.0,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.9798395584026972,0.2350825471318358,,,"[0.980 ± 0.235, +0, -0]"
101커피컨테이너 서초구 양재2동,0.5,0,0.0641954541206359,1,0.0641954541206359,1,0.5,0,0.0641954541206359,1,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.0641954541206359,1,0.0641954541206359,1,0.5,0,0.0641954541206359,1,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0641954541206359,0.199710731969804,,,"[0.064 ± 0.200, +0, -0]"
10꼬르소꼬모카페 중구 소공동,0.8891603996356329,6,0.8356832146644593,5,0.8088479153811932,8,0.6175020138422648,6,0.8411199778318406,10,0.7981441269318262,6,0.9930223425229392,3,0.8374496325850487,4,0.7193658550580343,9,0.8288474629322687,6,0.8891603996356329,6,0.8356832146644593,5,0.8088479153811932,8,0.6175020138422648,6,0.8411199778318406,10,0.7981441269318262,6,0.9930223425229392,3,0.8374496325850487,4,0.7193658550580343,9,0.8288474629322687,6,0.0952380952380952,0.0793650793650793,0.1269841269841269,0.0952380952380952,0.1587301587301587,0.0952380952380952,0.0476190476190476,0.0634920634920634,0.1428571428571428,0.0952380952380952,0.8042139912408496,0.093506242439651,"심미성, 상호작용성","접근성, 기억 및 선호","[0.804 ± 0.094, +2, -2]"
121호 성동구 왕십리도선동,0.9924967288970948,1,0.9924967288970948,1,0.9924967288970948,1,0.9924967288970948,1,0.9924967288970948,1,0.9924967288970948,1,0.5,0,0.5,0,0.9924967288970948,1,0.5,0,0.9924967288970948,1,0.9924967288970948,1,0.9924967288970948,1,0.9924967288970948,1,0.9924967288970948,1,0.9924967288970948,1,0.5,0,0.5,0,0.9924967288970948,1,0.5,0,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.0,0.0,0.1428571428571428,0.0,0.9924967288970948,0.2256903539689081,,,"[0.992 ± 0.226, +0, -0]"
13포레스트 동작구 상도3동,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,1,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,1,0.5,0,0.5,0,0.5,0,0.5,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,,,"[0.500 ± 0.000, +0, -0]"
237플랫폼카페 성북구 정릉2동,0.9611458331346512,4,0.9769999143623168,7,0.7847401712621961,7,0.9874929587046304,3,0.9020016420455204,7,0.916868582367897,8,0.9381330609321594,2,0.9942177534103394,1,0.9901752829551695,5,0.994359850883484,2,0.9611458331346512,4,0.9769999143623168,7,0.7847401712621961,7,0.9874929587046304,3,0.9020016420455204,7,0.916868582367897,8,0.9381330609321594,2,0.9942177534103394,1,0.9901752829551695,5,0.994359850883484,2,0.0869565217391304,0.1521739130434782,0.1521739130434782,0.0652173913043478,0.1521739130434782,0.1739130434782608,0.0434782608695652,0.0217391304347826,0.108695652173913,0.0434782608695652,0.9260496294152908,0.0619346684229126,"개방성, 접근성, 상징성, 기억 및 선호, 지역 정체성",감각적 경험,"[0.926 ± 0.062, +5, -1]"
24시만화카페 관악구 신림동,0.5,0,0.9940219521522522,1,0.9940219521522522,1,0.5,0,0.9926872849464417,2,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.9940219521522522,1,0.9940219521522522,1,0.5,0,0.9926872849464417,2,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.0,0.25,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.9933546185493468,0.2261856878059459,,,"[0.993 ± 0.226, +0, -0]"
24시무인까페만월경서리풀점 서초구 방배3동,0.9852077811956406,4,0.6657118797302246,12,0.871531310682422,58,0.7782459662241095,17,0.9833000898361206,10,0.597760071977973,16,0.9896871745586396,2,0.9916207790374756,1,0.8874103320141634,40,0.9401664521012988,7,0.9852077811956406,4,0.6657118797302246,12,0.871531310682422,58,0.7782459662241095,17,0.9833000898361206,10,0.597760071977973,16,0.9896871745586396,2,0.9916207790374756,1,0.8874103320141634,40,0.9401664521012988,7,0.0239520958083832,0.0718562874251497,0.3473053892215569,0.1017964071856287,0.059880239520958,0.0958083832335329,0.0119760479041916,0.0059880239520958,0.2395209580838323,0.0419161676646706,0.8392461482058369,0.1359093198100418,"심미성, 쾌적성, 상호작용성, 상징성, 지역 정체성","개방성, 접근성, 활동성","[0.839 ± 0.136, +5, -3]"
24시무인셀프카페 양천구 목4동,0.5,0,0.5,0,0.8378968834877014,1,0.5,0,0.5,0,0.9906005859375,1,0.9906005859375,1,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.8378968834877014,1,0.5,0,0.5,0,0.9906005859375,1,0.9906005859375,1,0.5,0,0.5,0,0.5,0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.9396993517875672,0.2053168784462134,"활동성, 상호작용성",감각적 경험,"[0.940 ± 0.205, +2, -1]"
24시무인카페만월경 강동구 길동,0.9944266080856324,1,0.9938251972198486,2,0.984499365091324,2,0.9938251972198486,2,0.9874430000782012,3,0.9938251972198486,2,0.5,0,0.5,0,0.9945330917835236,1,0.5,0,0.9944266080856324,1,0.9938251972198486,2,0.984499365091324,2,0.9938251972198486,2,0.9874430000782012,3,0.9938251972198486,2,0.5,0,0.5,0,0.9945330917835236,1,0.5,0,0.0769230769230769,0.1538461538461538,0.1538461538461538,0.1538461538461538,0.2307692307692307,0.1538461538461538,0.0,0.0,0.0769230769230769,0.0,0.9910183548927308,0.2253784696561136,,,"[0.991 ± 0.225, +0, -0]"
