cafe_name,점수_심미성,리뷰수_심미성,점수_형태성,리뷰수_형태성,점수_감각적 경험,리뷰수_감각적 경험,점수_접근성,리뷰수_접근성,점수_쾌적성,리뷰수_쾌적성,점수_활동성,리뷰수_활동성,점수_사회성,리뷰수_사회성,점수_참여성,리뷰수_참여성,점수_고유성,리뷰수_고유성,점수_기억/경험,리뷰수_기억/경험,점수_지역 정체성,리뷰수_지역 정체성,점수_심미성_calc,리뷰수_심미성_calc,점수_형태성_calc,리뷰수_형태성_calc,점수_감각적 경험_calc,리뷰수_감각적 경험_calc,점수_접근성_calc,리뷰수_접근성_calc,점수_쾌적성_calc,리뷰수_쾌적성_calc,점수_활동성_calc,리뷰수_활동성_calc,점수_사회성_calc,리뷰수_사회성_calc,점수_참여성_calc,리뷰수_참여성_calc,점수_고유성_calc,리뷰수_고유성_calc,점수_기억/경험_calc,리뷰수_기억/경험_calc,점수_지역 정체성_calc,리뷰수_지역 정체성_calc,Wi_심미성,Wi_형태성,Wi_감각적 경험,Wi_접근성,Wi_쾌적성,Wi_활동성,Wi_사회성,Wi_참여성,Wi_고유성,Wi_기억/경험,Wi_지역 정체성,종합_장소성_점수_Mu,요인_점수_표준편차_Sigma,강점_요인(+df+),약점_요인(-df-),Final_PlaceScore_Summary
101스트릿노블레르점 강서구 염창동,0.6909223794937134,1,0.6909223794937134,1,0.8312382996082306,1,0.5,0,0.6909223794937134,1,0.6909223794937134,1,0.6909223794937134,1,0.6909223794937134,1,0.6909223794937134,1,0.6909223794937134,1,0.6909223794937134,1,0.6909223794937134,1,0.6909223794937134,1,0.8312382996082306,1,0.5,0,0.6909223794937134,1,0.6909223794937134,1,0.6909223794937134,1,0.6909223794937134,1,0.6909223794937134,1,0.6909223794937134,1,0.6909223794937134,1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.7049539715051653,0.07129139499205384,감각적 경험,N/A,"[0.705 ± 0.071, +1, -0]"
101커피컨테이너 서초구 양재2동,0.5,0,0.5,0,0.5,0,0.5,0,0.1550123691558838,1,0.1550123691558838,1,0.1550123691558838,1,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.1550123691558838,1,0.1550123691558838,1,0.1550123691558838,1,0.5,0,0.5,0,0.5,0,0.5,0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.1550123691558838,0.15364430238904223,N/A,N/A,"[0.155 ± 0.154, +0, -0]"
10꼬르소꼬모카페 중구 소공동,0.9403549879789352,6,0.9454004764556885,2,0.9560014009475708,6,0.9331743121147156,5,0.8392549157142639,8,0.8249411235253016,6,0.8899003863334656,4,0.7319874465465546,2,0.9569543302059174,2,0.9518444240093231,7,0.9408419380585352,6,0.9403549879789352,6,0.9454004764556885,2,0.9560014009475708,6,0.9331743121147156,5,0.8392549157142639,8,0.8249411235253016,6,0.8899003863334656,4,0.7319874465465546,2,0.9569543302059174,2,0.9518444240093231,7,0.9408419380585352,6,0.1111111111111111,0.037037037037037035,0.1111111111111111,0.09259259259259259,0.14814814814814814,0.1111111111111111,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.12962962962962962,0.1111111111111111,0.9045174927623182,0.0695242419480337,"감각적 경험, 고유성","쾌적성, 활동성, 참여성","[0.905 ± 0.070, +2, -3]"
121호 성동구 왕십리도선동,0.9686654806137085,1,0.9686654806137085,1,0.5,0,0.9686654806137085,1,0.9686654806137085,1,0.9686654806137085,1,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.9686654806137085,1,0.9686654806137085,1,0.5,0,0.9686654806137085,1,0.9686654806137085,1,0.9686654806137085,1,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.2,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.9686654806137085,0.2333624142328439,N/A,N/A,"[0.969 ± 0.233, +0, -0]"
13포레스트 동작구 상도3동,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,"[0.000 ± 0.000, +0, -0]"
237플랫폼카페 성북구 정릉2동,0.8909923434257507,6,0.9168838461240133,3,0.8855381480285099,7,0.8746984720230102,5,0.851552759055738,9,0.8687393632200028,6,0.9375962565342585,4,0.9012124041716257,3,0.5,0,0.8646737933158875,3,0.9704464475313822,3,0.8909923434257507,6,0.9168838461240133,3,0.8855381480285099,7,0.8746984720230102,5,0.851552759055738,9,0.8687393632200028,6,0.9375962565342585,4,0.9012124041716257,3,0.5,0,0.8646737933158875,3,0.9704464475313822,3,0.12244897959183673,0.061224489795918366,0.14285714285714285,0.10204081632653061,0.1836734693877551,0.12244897959183673,0.08163265306122448,0.061224489795918366,0.0,0.061224489795918366,0.061224489795918366,0.8878501830052357,0.1186100102991453,지역 정체성,N/A,"[0.888 ± 0.119, +1, -0]"
24시만화카페 관악구 신림동,0.9351650476455688,1,0.5,0,0.5,0,0.5,0,0.9413674175739288,2,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.9351650476455688,1,0.5,0,0.5,0,0.5,0,0.9413674175739288,2,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.9392999609311421,0.16904209494050818,N/A,N/A,"[0.939 ± 0.169, +0, -0]"
24시무인까페만월경서리풀점 서초구 방배3동,0.9578709900379181,2,0.1430707573890686,1,0.8830370235032049,29,0.6588399827480316,10,0.7381269931793213,7,0.9725346267223358,2,0.6827042996883392,4,0.5,0,0.914809376001358,2,0.8463568052519923,23,0.6650806750570025,7,0.9578709900379181,2,0.1430707573890686,1,0.8830370235032049,29,0.6588399827480316,10,0.7381269931793213,7,0.9725346267223358,2,0.6827042996883392,4,0.5,0,0.914809376001358,2,0.8463568052519923,23,0.6650806750570025,7,0.022988505747126436,0.011494252873563218,0.3333333333333333,0.11494252873563218,0.08045977011494253,0.022988505747126436,0.04597701149425287,0.0,0.022988505747126436,0.26436781609195403,0.08045977011494253,0.8051661109102185,0.23167651115750057,"심미성, 감각적 경험, 활동성, 고유성","형태성, 접근성, 쾌적성, 사회성, 지역 정체성","[0.805 ± 0.232, +4, -5]"
24시무인셀프카페 양천구 목4동,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.9702818989753723,1,0.9702818989753723,1,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.9702818989753723,1,0.9702818989753723,1,0.5,0,0.5,0,0.5,0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.9702818989753723,0.1813851926371487,N/A,N/A,"[0.970 ± 0.181, +0, -0]"
24시무인카페만월경 강동구 길동,0.9740042686462402,1,0.5,0,0.9740042686462402,1,0.5,0,0.932964046796163,3,0.5,0,0.5,0,0.5,0,0.5,0,0.9742163121700287,1,0.9740042686462402,1,0.9740042686462402,1,0.5,0,0.9740042686462402,1,0.5,0,0.932964046796163,3,0.5,0,0.5,0,0.5,0,0.5,0,0.9742163121700287,1,0.9740042686462402,1,0.14285714285714285,0.0,0.14285714285714285,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.956445894071034,0.2322194296349773,N/A,N/A,"[0.956 ± 0.232, +0, -0]"
